POA,Population (2006),Population (2011),Population (2016),Population (2021)
3191,3679.0,3899.0,4391.0,4921.0
3192,8596.0,8799.0,9661.0,10540.0
3193,7566.0,7736.0,8027.0,8204.0
3194,5266.0,5435.0,6105.0,6347.0
3195,12718.0,13846.0,14369.0,14948.0
3196,10104.0,10700.0,11508.0,12161.0
3197,4804.0,5107.0,5261.0,5462.0
3198,7408.0,7613.0,7981.0,8187.0
3199,22754.0,23484.0,24484.0,24913.0
3200,2449.0,2479.0,2552.0,2597.0
3201,6469.0,7464.0,8237.0,9019.0
3202,943.0,959.0,1032.0,1043.0
3204,11092.0,11527.0,12321.0,13829.0
3205,4941.0,5062.0,6249.0,7272.0
3206,5044.0,5059.0,5144.0,5102.0
3207,7121.0,8087.0,8824.0,9724.0
3211,294.0,513.0,498.0,481.0
3212,4779.0,5149.0,5971.0,6949.0
3213,,,1433.0,1679.0
3214,9853.0,10017.0,10546.0,10831.0
3215,8247.0,8710.0,9251.0,9803.0
3216,20081.0,21924.0,23345.0,24732.0
3217,220.0,417.0,2399.0,7599.0
3218,6046.0,6145.0,6597.0,7101.0
3219,8764.0,9181.0,9557.0,9731.0
3220,6986.0,7256.0,7843.0,8269.0
3221,2946.0,3436.0,264.0,297.0
3222,4576.0,5153.0,6479.0,8018.0
3223,5273.0,5915.0,6405.0,7523.0
3224,3290.0,4055.0,5839.0,6171.0
3225,3226.0,3392.0,3559.0,4167.0
3226,5818.0,6578.0,7391.0,8669.0
3227,2056.0,2456.0,2676.0,2843.0
3228,6121.0,7645.0,8911.0,10945.0
3230,2758.0,2851.0,2929.0,3015.0
3231,1462.0,1802.0,1776.0,1911.0
3232,1604.0,1749.0,1881.0,1770.0
3233,2236.0,2148.0,2314.0,2563.0
3234,,,489.0,518.0
3235,446.0,223.0,250.0,265.0
3236,104.0,170.0,153.0,165.0
3237,,314.0,194.0,184.0
3238,163.0,136.0,190.0,205.0
3239,332.0,250.0,268.0,271.0
3240,423.0,761.0,754.0,791.0
3241,981.0,1036.0,1172.0,1374.0
3242,319.0,369.0,420.0,461.0
3243,122.0,330.0,195.0,218.0
3249,1758.0,1234.0,1443.0,1525.0
3250,4988.0,5303.0,5610.0,5833.0
3251,105.0,338.0,244.0,279.0
3254,,159.0,131.0,144.0
3260,2287.0,2116.0,2282.0,2377.0
3264,1042.0,1089.0,1090.0,1090.0
3265,786.0,1065.0,1092.0,1171.0
3266,1486.0,1459.0,1368.0,1381.0
3267,,117.0,108.0,88.0
3268,1285.0,1075.0,1201.0,1181.0
3269,561.0,585.0,456.0,434.0
3270,272.0,279.0,336.0,363.0
3271,143.0,,98.0,98.0
3272,741.0,848.0,798.0,821.0
3273,,61.0,65.0,60.0
3274,207.0,178.0,112.0,129.0
3275,265.0,174.0,163.0,161.0
3276,261.0,191.0,205.0,196.0
3277,608.0,708.0,746.0,782.0
3278,163.0,159.0,116.0,139.0
3279,153.0,,102.0,107.0
3280,12171.0,13246.0,14420.0,15205.0
3281,160.0,608.0,623.0,672.0
3282,691.0,943.0,973.0,1061.0
3283,592.0,355.0,549.0,606.0
3284,1780.0,2043.0,2249.0,2395.0
3285,575.0,583.0,565.0,599.0
3286,387.0,310.0,302.0,291.0
3287,159.0,162.0,177.0,196.0
3289,373.0,324.0,400.0,423.0
3292,255.0,286.0,263.0,258.0
3293,146.0,161.0,164.0,207.0
3294,462.0,434.0,480.0,514.0
3300,4955.0,4862.0,4990.0,5104.0
3301,216.0,687.0,571.0,572.0
3302,201.0,241.0,193.0,192.0
3303,168.0,214.0,162.0,140.0
